Movie Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross Collection,Popularity,Certification
Jurassic World Dominion,Chris Pratt,Bryce Dallas Howard,Laura Dern,Sam Neill,"187,546",Action,Adventure,Sci-Fi,,276,PG-13
Transformers: Age of Extinction,Mark Wahlberg,Nicola Peltz Beckham,Jack Reynor,Stanley Tucci,"324,287",Action,Adventure,Sci-Fi,"$1,104,054,072",385,PG-13
The Mother,Jennifer Lopez,Lucy Paez,Omari Hardwick,Joseph Fiennes,"38,905",Action,Thriller,,,398,R
Pixels,Adam Sandler,Kevin James,Michelle Monaghan,Peter Dinklage,"152,021",Action,Comedy,Fantasy,"$244,874,809",440,PG-13
Beast,Liyabuya Gongo,Martin Munro,Daniel Hadebe,Thapelo Sebogodi,"35,686",Action,Adventure,Drama,,"1,443",R
Charlie's Angels,Cameron Diaz,Drew Barrymore,Lucy Liu,Bill Murray,"192,075",Action,Adventure,Comedy,2.39 : 1,"1,494",PG-13
You Don't Mess with the Zohan,Adam Sandler,John Turturro,Emmanuelle Chriqui,Nick Swardson,"208,616",Action,Comedy,,1.85 : 1,"1,638",PG-13
Hulk,Eric Bana,Jennifer Connelly,Sam Elliott,Josh Lucas,"273,702",Action,Sci-Fi,,"$245,285,165","1,695",PG-13
Pacific Rim: Uprising,John Boyega,Scott Eastwood,Cailee Spaeny,Burn Gorman,"122,276",Action,Adventure,Fantasy,,"1,726",PG-13
Men in Black: International,Chris Hemsworth,Tessa Thompson,Kumail Nanjiani,Rebecca Ferguson,"140,649",Action,Adventure,Comedy,,"1,916",PG-13
Last Seen Alive,Gerard Butler,Jaimie Alexander,Russell Hornsby,Ethan Embry,"26,280",Action,Mystery,Thriller,,"2,033",R
Assassin's Creed,Michael Fassbender,Marion Cotillard,Jeremy Irons,Brendan Gleeson,"204,188",Action,Adventure,Sci-Fi,,"2,469",PG-13
Spy Kids,Alexa PenaVega,Daryl Sabara,Antonio Banderas,Carla Gugino,"122,510",Action,Adventure,Comedy,1.85 : 1,"2,569",PG
Alexander,Colin Farrell,Anthony Hopkins,Rosario Dawson,Angelina Jolie,"173,344",Action,Biography,Drama,2.39 : 1,"2,601",R
